post_id, add_timestamp
616645,1537270397.0
24931,1537270397.0
4675728,1537270397.0
2996887,1537270397.0
4985080,1537270397.0
4984428,1537270397.0
27921629,1579425904.0
538666,1537112788.0
787287,1425976164.0
3899980,1425976164.0
7125009,1425976164.0
952914,1537200006.0
480214,1537200006.0
8897593,1570459814.0
2380394,1570459814.0
597476,1502023424.0
4832357,1507528968.0
1395151,1507528968.0
5967500,1502023424.0
13299550,1502023424.0
16042647,1508513925.0
7835030,1553410095.0
49547,1452336410.0
3859097,1452336410.0
2297403,1508513925.0
8506897,1569734324.0
5649407,1537112788.0
475074,1537112788.0
5228158,1587342471.0
33019698,1519833003.0
3410976,1562077684.0
33560364,1537112788.0
32404,1529999714.0
34696815,1529999714.0
7085604,1529999714.0
140111,1529999714.0
20561990,1529999714.0
18682681,1502683357.0
1230669,1546156970.0
16333054,1502683357.0
6783921,1574048476.0
264256,1556345685.0
4411757,1556345685.0
31489757,1556345685.0
32214614,1537112788.0
36932,1470114796.0
4984647,1537112788.0
455059,1537112788.0
3310584,1537200006.0
15169101,1502023424.0
5776125,1502023424.0
312230,1537200006.0
2374427,1537200006.0
908331,1593351115.0
7543452,1502023424.0
3582414,1502023424.0
17104926,1502023424.0
2203424,1502023424.0
5067604,1502023424.0
123558,1556035561.0
2537471,1537112788.0
2441796,1537112788.0
19175311,1505059290.0
24622170,1502023424.0
870925,1502023424.0
5631078,1502023424.0
5014700,1502023424.0
6611563,1537112788.0
12941416,1502023424.0
15381604,1502023424.0
14636192,1503556836.0
1323455,1537112788.0
6455560,1505059290.0
2546207,1537112788.0
87747,1502023424.0
2937229,1502023424.0
10262426,1502023424.0
409286,1502023424.0
32917867,1502023424.0
34787794,1537112788.0
1675181,1570459814.0
3055477,1570459814.0
169070,1511884584.0
12041525,1511884584.0
2656322,1537200006.0
2853723,1537200006.0
1392413,1587342471.0
43878953,1592660871.0
51264355,1540177490.0
35344209,1541501359.0
7585435,1537200006.0
10459067,1537200006.0
1604464,1537200006.0
13305290,1537200006.0
1094841,1537270397.0
125222,1537112788.0
42482,1537112788.0
25665,1537112788.0
5725278,1537112788.0
13857856,1502023424.0
25228106,1537112788.0
653368,1502023424.0
510357,1502023424.0
2408560,1502023424.0
12296214,1502023424.0
7484454,1502023424.0
13131400,1502023424.0
24683360,1502023424.0
31992424,1502023424.0
1987919,1502023424.0
4020539,1502023424.0
13233076,1519007782.0
1214496,1537200006.0
34124636,1511884584.0
2953462,1452070733.0
316866,1452070733.0
27804710,1515259992.0
530526,1425976164.0
151079,1425976164.0
1061697,1425976164.0
1071191,1537270397.0
10397968,1502023424.0
1883980,1537270397.0
9475241,1519007782.0
6116978,1537112788.0
1207457,1502023424.0
30254739,1537112788.0
42980201,1561985936.0
9157210,1537112788.0
9555133,1537112788.0
22094852,1506790841.0
19924104,1506790841.0
26096355,1506790841.0
34458583,1574000313.0
17602878,1515330423.0
29824059,1515330423.0
13730107,1537200006.0
25728472,1537200006.0
12821961,1515259992.0
12771480,1537200006.0
3647692,1502023424.0
3365740,1537112788.0
20339053,1537622569.0
20638040,1540177490.0
1776994,1502023424.0
3862310,1502023424.0
128573,1503556836.0
27803059,1587342471.0
893333,1587342471.0
38987,1537112788.0
4406501,1537112788.0
6777485,1502023424.0
2315520,1502023424.0
17532929,1537112788.0
1151658,1565091112.0
32888599,1572258096.0
16041232,1502023424.0
1156246,1502023424.0
4460661,1502023424.0
29303902,1502023424.0
13990846,1502023424.0
2472422,1540177490.0
14368290,1537112788.0
6578986,1502023424.0
31235771,1502023424.0
16406798,1502023424.0
3768895,1502023424.0
3151469,1502023424.0
3214589,1502023424.0
2095520,1502023424.0
1386291,1511884584.0
2082152,1572258096.0
64505,1545068040.0
3362600,1545068040.0
19237878,1530622882.0
17071871,1530622882.0
28757389,1530622882.0
30086936,1530505642.0
49127844,1530505642.0
15943769,1530509153.0
19365513,1530509153.0
20094215,1537112788.0
15008758,1522149705.0
6557407,1537200006.0
201282,1442947551.0
2221250,1442947551.0
3343922,1442947551.0
6568098,1442947551.0
917431,1442947551.0
4205181,1426750608.0
10263956,1427775115.0
5088671,1427775115.0
2920364,1429860228.0
26899595,1429860228.0
6777810,1432209391.0
2901453,1425976164.0
7311990,1425976164.0
11053941,1425976164.0
6001104,1425976164.0
1063770,1427775115.0
9337134,1454081253.0
6202726,1442810044.0
8859353,1425976164.0
1903041,1430319288.0
8562136,1502023424.0
5411619,1502023424.0
285775,1502023424.0
11016935,1502023424.0
1345039,1502023424.0
37926516,1502023424.0
4214173,1502023424.0
5599254,1536666559.0
36228537,1537112788.0
