file_path,post_id,line_count,comment
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,24161582,3816,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,1114465,4599,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,24161582,4624,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,1114465,5407,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,24161582,5432,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,1114465,6215,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,24161582,6240,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,1114465,7023,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,24161582,7048,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,1114465,7831,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,24161582,7856,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,1114465,8647,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/ClassifierVisualization.ipynb,24161582,8672,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/Assignment2.ipynb,1114465,901,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/Assignment2.ipynb,24161582,926,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/.ipynb_checkpoints/Assignment2-checkpoint.ipynb,1114465,901,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 2/.ipynb_checkpoints/Assignment2-checkpoint.ipynb,24161582,926,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 1/Week1.ipynb,1114465,645,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 1/Week1.ipynb,24161582,670,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 1/Week1.ipynb,1114465,1452,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 1/Week1.ipynb,24161582,1477,       " * http://stackoverflow.com/a/24161582/3208463\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 1/Week1.ipynb,1114465,2437,       "// from http://stackoverflow.com/questions/1114465/getting-mouse-location-in-canvas\n",
/Users/jacob.caulfield/Documents/GitHub4/Applied-Data-Science/Applied Machine Learning in Python/Week 1/Week1.ipynb,24161582,2462,       " * http://stackoverflow.com/a/24161582/3208463\n",
